relative_path,asset_class,include_status,size_bytes,sha256
data/validation/links87_excel_vs_systat_column_comparison.csv,data_candidate,candidate_include_after_manifest_and_license_review,6999,a955775e2fb8fb3ca5305db410d5107ea873cee329b2df00d90c3dcaa48610e0
data/validation/speed_xls_figure2_vs_systat_pairs.csv,data_candidate,candidate_include_after_manifest_and_license_review,160,ea2b6209a79734d66456fcfc0ddb5d425c41f4a21c9fb5852ead379be7f1b74d
documentation/LEGACY_MODERNIZATION_REPORT.csv,documentation,supporting_documentation,1128,05e1237e9f3d47b3b54670373143fd0fddedf44d37c3a92f044b8d812cd90081
documentation/LEGACY_Z_DECODE_STATUS.csv,documentation,supporting_documentation,1243,8fca072c82c5bf7ea2ef2a24e620dd4a2260d124c60be3a545491bb49cc559f9
documentation/SOURCE_FILE_REVIEW.csv,documentation,supporting_documentation,7098,2b8f10d877c70affea23f6f7109167257a892e7f3f10d54e6a1668336a2326b6
documentation/SOURCE_MEASUREMENTS_PROVENANCE.csv,documentation,supporting_documentation,4099,7761d46c36ddf7b0a664ee9733bebaf23b655c9426ed381a81609093ed1b5f2e
documentation/SYSTAT_RECOVERY_NOTES.md,documentation,supporting_documentation,752,be69351ec77daeeb97e63139367c9f58fa78cc7e52a4db10e4532733bafa9936
documentation/XLSX_CONVERSION_REPORT.csv,documentation,supporting_documentation,373,82eae3af79e8ec19e76a1eb9a40dbade365f48b2d4b8cd8ba9ca811e5e55eb76
metadata/DATA_DICTIONARY_AUTOGENERATED.csv,documentation,supporting_documentation,117842,1cb87a41459d879951b3aa0708023b0878ebb1cb199067dc271adf7fac98c69c
paper/README.md,paper_reference,reference_only_do_not_public_upload_without_rights,746,0df327fe3ebc5ebfaf703af5d9ac16588c1718ecc6837caddfdf502e417ccd1f
paper/Speed.pdf,paper_reference,reference_only_do_not_public_upload_without_rights,649751,a9e3d813f3c4fee0869bb48a4a88b09c4e8026b2fc7b18c5ccb6be0a803e4fe7
