1,W,1,S,Md.108,1506,Norwood Rd.,2361,Md.182,40,|,33.4,,B,92,,0,,92,,33.4,5,19,,26%,,|,36.2,,A,85,,0,,85,,36.2,0,17,,20%,,,,
1,E,2,I,Md.108,1736,Md.27,1738,Md.124,30,|,20.8,,B,37,,0,,37,,20.8,0,15,,41%,,|,13.3,,C,58,,22,,36,,21.4,27,9,,62%,,,,
1,W,1,S,Md.108,2453,Fieldcrest Rd.,1559,Dorsey Rd.,50,|,46,,A,56,,0,,56,,46,0,9,,16%,,|,46,,A,56,,0,,56,,46,0,9,,16%,,,,
1,E,1,S,Md.108,2361,Dr.Bird Rd.,1506,Norwood Rd.,40,|,31.9,,B,96,,0,,96,,31.9,0,28,,29%,,|,34.8,,B,88,,0,,88,,34.8,0,20,,23%,,,,
1,E,2,S,Md.108,1506,Norwood Rd.,2360,Md.650,30,|,30.3,,A,106,,1,,105,,30.6,5,9,,13%,,|,32.1,,A,100,,0,,100,,32.1,0,8,,8%,,,,
1,E,1,S,Md.108,2361,Md.182,1506,Norwood Rd.,40,|,36.8,,A,84,,0,,84,,36.8,0,15,,18%,,|,37.7,,A,82,,0,,82,,37.7,0,13,,16%,,,,
1,W,2,I,Md.108,2360,Md.650,1506,Norwood Rd.,30,|,30.9,,A,105,,0,,105,,30.9,0,12,,11%,,|,31.1,,A,104,,0,,104,,31.1,0,11,,11%,,,,
1,W,1,S,Md.108,1506,Norwood Rd.,2361,Dr.Bird Rd.,40,|,35.6,,A,85,,0,,85,,35.6,0,18,,21%,,|,29.6,,B,102,,0,,102,,29.6,6,29,,34%,,,,
1,E,2,I,Md.108,2411,Sundown Rd.,3356,Warfield Rd.,30,|,29.5,,A,59,,0,,59,,29.5,0,9,,15%,,|,28,,A,62,,0,,62,,28,0,12,,19%,,,,
1,E,1,S,Md.108,1559,Dorsey Rd.,2453,Fieldcrest Rd.,40,|,40,,A,64,,0,,64,,40,0,7,,11%,,|,39.4,,A,65,,0,,65,,39.4,0,8,,12%,,,,
1,E,1,S,Md.108,2410,Md.650,2411,Sundown Rd.,40,|,40.6,,A,257,,0,,257,,40.6,0,25,,10%,,|,33.2,,B,314,,30,,284,,36.8,35,47,,26%,,,,
1,W,1,S,Md.108,2364,Muncaster Rd.,2453,Fieldcrest Rd.,50,|,40.7,,A,52,,0,,52,,40.7,0,14,,27%,,|,39.9,,A,53,,0,,53,,39.9,0,15,,28%,,,,
1,E,2,I,Md.108,1506,Norwood Rd.,2360,Md.650,30,|,31.9,,A,101,,0,,101,,31.9,0,9,,9%,,|,27.1,,A,119,,0,,119,,27.1,6,21,,23%,,,,
1,W,1,S,Md.108,9990,Mink Hollow Rd.,2360,Md.650,40,|,33.1,,B,88,,0,,88,,33.1,0,23,,26%,,|,35,,A,83,,0,,83,,35,0,18,,22%,,,,
1,W,2,S,Md.108,2360,Md.650,1506,Norwood Rd.,30,|,30.9,,A,106,,0,,106,,30.9,0,13,,12%,,|,29,,B,113,,0,,113,,29,0,20,,18%,,,,
1,W,1,S,Md.108,1559,Dorsey Rd.,3356,Warfield Rd.,40,|,39.7,,A,75,,0,,75,,39.7,0,9,,12%,,|,40.2,,A,74,,0,,74,,40.2,0,8,,11%,,,,
1,E,1,S,Md.108,3356,Warfield Rd.,1559,Dorsey Rd.,40,|,36.5,,A,83,,0,,83,,36.5,0,16,,19%,,|,37.9,,A,80,,0,,80,,37.9,0,13,,16%,,,,
1,W,2,I,Md.108,3356,Warfield Rd.,2411,Sundown Rd.,30,|,19.5,,B,87,,27,,60,,28.3,31,7,,44%,,|,32,,A,53,,0,,53,,32,0,4,,8%,,,,
1,E,1,S,Md.108,2360,Md.650,9990,Mink Hollow Rd.,40,|,37.6,,A,79,,0,,79,,37.6,0,13,,16%,,|,37.6,,A,79,,0,,79,,37.6,0,13,,16%,,,,
1,W,2,I,Md.108,1738,Md.124,1736,Md.27,30,|,13.3,,C,64,,23,,41,,20.8,28,12,,63%,,|,6,,F,141,,91,,50,,17,106,11,,83%,,,,
1,N,1,S,Md.112,1673,Esworthy Rd.,2441,Md.28,45,|,39.4,,A,198,,0,,198,,39.4,4,38,,21%,,|,39,,A,200,,0,,200,,39,0,44,,22%,,,,
1,S,1,S,Md.112,2441,Md.28,1673,Esworthy Rd.,45,|,39.7,,A,114,,0,,114,,39.7,0,24,,21%,,|,39.3,,A,115,,0,,115,,39.3,0,25,,22%,,,,
1,N,1,S,Md.124,1922,Sweepstakes Rd.,7001,Hawkins Creamer,40,|,34.4,,B,96,,0,,96,,34.4,0,23,,24%,,|,39.8,,A,83,,0,,83,,39.8,0,10,,12%,,,,
1,S,1,I,Md.124,2453,Fieldcrest Rd.,1643,Airpark Rd.,45,|,41.2,,A,99,,0,,99,,41.2,1,16,,17%,,|,43.4,,A,94,,0,,94,,43.4,0,12,,13%,,,,
1,N,1,S,Md.124,1742,Brink Rd.,1922,Sweepstakes Rd.,40,|,38.9,,A,375,,0,,375,,38.9,8,43,,14%,,|,40.7,,A,358,,0,,358,,40.7,0,34,,9%,,,,
1,S,2,I,Md.124,1738,Md.108,7001,Hawkins Creamer,30,|,31.5,,A,114,,0,,114,,31.5,0,11,,10%,,|,31,,A,116,,0,,116,,31,0,13,,11%,,,,
1,N,2,I,Md.124,7001,Hawkins Creamer,1738,Md.108,30,|,26.7,,A,132,,24,,108,,32.7,35,0,,27%,,|,32.4,,A,109,,0,,109,,32.4,6,2,,7%,,,,
