year,inode_upstream,jnode_downstream,am_peak_mean_speed_mph,am_off_peak_mean_speed_mph,pm_off_peak_mean_speed_mph,pm_peak_mean_speed_mph,free_flow_speed_mph,j_node_delay_flag,am_peak_signal_delay_minutes,am_off_peak_signal_delay_minutes,pm_off_peak_signal_delay_minutes,pm_peak_signal_delay_minutes,am_peak_sample_count,am_off_peak_sample_count,pm_off_peak_sample_count,pm_peak_sample_count
1987,2273,1774,25,22,21,26,22,F,0.03,0.09,0.14,0.14,3,4,5,3
1987,1774,1479,25,22,21,26,22,F,0.03,0.09,0.14,0.14,3,4,5,3
1987,1479,2432,25,22,21,26,22,T,0.38,0.88,0.73,0.25,3,4,5,3
1987,2432,1479,29,21,31,25,30,F,0.07,0.02,0.10,0.09,12,5,13,2
1987,1479,1774,29,21,31,25,30,F,0.07,0.02,0.10,0.09,12,5,13,2
1987,1774,2273,29,21,31,25,30,T,0.09,1.20,0.02,0.00,12,5,13,2
1987,3174,1944,52,0,46,0,53,T,0.00,0.00,0.00,0.00,1,0,3,0
1987,1944,2225,52,0,46,0,53,T,0.00,0.00,0.00,0.00,1,0,3,0
1987,2225,3171,15,13,20,13,49,T,0.00,0.00,0.00,0.00,2,8,7,4
1987,2226,2236,55,54,51,15,65,T,0.00,0.00,0.03,0.00,17,14,18,9
1987,2236,3168,46,52,54,10,64,T,0.04,0.00,0.00,0.00,12,7,12,6
1987,3168,2237,46,46,47,3,56,T,0.00,0.00,0.00,0.00,10,7,11,5
1987,2237,3593,53,56,53,1,95,F,0.00,0.00,0.00,0.00,10,5,10,6
1987,3593,2952,53,56,53,1,95,F,0.00,0.00,0.00,0.00,10,5,10,6
1987,2952,2953,53,56,53,1,95,T,0.00,0.00,0.00,0.00,10,5,10,6
1987,2958,2953,39,2,36,11,90,T,0.00,0.00,0.00,0.00,11,6,9,9
1987,2953,2956,39,2,36,11,90,T,0.00,0.00,0.00,0.00,11,6,9,9
1987,2956,2957,37,17,42,16,72,F,0.00,0.00,0.00,0.00,15,11,20,11
1987,2957,1945,37,17,42,16,72,F,0.00,0.00,0.00,0.00,15,11,20,11
1987,1945,3164,37,17,42,16,72,T,0.22,0.00,0.00,0.00,15,11,20,11
1987,3164,2233,52,52,46,33,79,T,0.00,0.00,0.00,0.00,11,5,12,6
1987,2233,1946,52,52,46,33,79,T,0.07,0.00,0.00,0.00,11,5,12,6
1987,1946,1947,46,50,47,26,67,T,0.00,0.00,0.00,0.00,14,8,16,7
1987,1947,3161,46,50,47,26,67,T,0.15,0.00,0.10,0.09,14,8,16,7
1987,3161,2270,34,65,44,48,72,T,0.23,0.00,0.00,0.00,2,2,3,3
1987,2270,3157,59,46,51,50,73,T,0.21,0.00,0.00,0.00,7,5,10,6
1987,3157,3159,51,51,53,58,64,T,0.00,0.00,0.00,0.00,2,3,5,3
1987,3159,3155,42,62,58,60,76,T,0.00,0.00,0.00,0.00,3,3,5,2
1987,3155,2293,48,53,51,55,64,T,0.00,0.00,0.00,0.00,3,3,4,1
1987,2293,3151,49,59,54,45,62,T,0.00,0.00,0.00,0.00,3,3,5,2
1987,3171,2226,0,46,12,0,0,T,0.00,0.00,0.00,0.00,0,1,1,0
1987,3171,2225,21,28,58,14,97,T,0.00,0.00,0.00,0.00,3,6,2,6
1987,4781,3153,0,0,42,0,0,T,0.00,0.00,0.00,0.00,0,0,1,0
1987,3153,3151,39,0,71,0,71,T,0.00,0.00,0.00,0.00,1,0,1,0
1987,3151,2293,25,39,52,54,60,T,0.00,0.00,0.00,0.00,3,5,4,5
1987,2293,3155,5,15,17,24,45,T,0.00,0.00,0.00,0.00,2,4,2,5
1987,3155,3159,44,44,56,57,69,T,0.00,0.00,0.00,0.00,1,3,2,4
1987,3159,3157,11,29,51,51,64,T,0.00,0.00,0.00,0.00,2,3,2,5
1987,3157,2270,14,30,59,48,66,T,0.00,0.00,0.00,0.00,2,3,4,5
1987,2270,3161,0,20,60,34,0,T,0.00,0.00,0.00,0.00,0,1,1,1
1987,3161,1947,36,30,56,51,61,F,0.00,0.00,0.00,0.00,2,5,3,7
1987,1947,1946,36,30,56,51,61,F,0.00,0.00,0.00,0.00,2,5,3,7
1987,1946,2233,36,30,56,51,61,T,0.00,0.00,0.00,0.00,2,5,3,7
1987,2233,3164,18,45,51,54,53,T,0.00,0.00,0.00,0.00,1,2,2,5
1987,3164,1945,42,48,47,46,62,F,0.00,0.00,0.00,0.00,1,2,4,7
1987,1945,2957,42,48,47,46,62,F,0.00,0.00,0.00,0.00,1,2,4,7
1987,2957,2239,42,48,47,46,62,T,0.00,0.00,0.00,0.00,1,2,4,7
1987,2239,3594,73,50,71,59,75,T,0.00,0.00,0.00,0.00,1,2,2,6
1987,3594,3593,0,58,0,56,0,T,0.00,0.00,0.00,0.00,0,3,0,5
1987,3593,2237,0,58,0,56,0,T,0.00,0.00,0.00,0.00,0,3,0,5
1987,2237,3168,0,60,0,64,0,T,0.00,0.00,0.00,0.00,0,3,0,5
1987,3168,2236,0,59,0,60,0,T,0.00,0.00,0.00,0.00,0,2,0,5
1987,2236,2226,45,53,48,3,61,T,0.00,0.00,0.00,0.10,5,8,3,11
1987,2226,3171,0,60,0,19,0,T,0.00,0.00,0.00,0.00,0,1,0,1
1987,2225,1944,55,44,23,32,51,T,0.00,0.00,0.00,0.00,1,2,1,4
1987,1944,3174,55,44,23,32,51,T,0.00,0.00,0.00,0.00,1,2,1,4
1987,3174,2224,0,46,29,38,46,T,0.00,0.00,0.00,0.00,1,1,1,4
1987,2213,1322,0,0,0,27,0,T,0.00,0.00,0.00,0.00,0,0,0,1
1987,1711,1712,38,41,37,43,45,T,0.00,0.00,0.00,0.00,3,2,3,5
1987,1712,1697,38,41,37,43,45,T,0.00,0.00,0.05,0.05,3,2,3,5
1987,1697,1712,30,43,39,44,45,T,0.00,0.00,0.00,0.00,1,2,2,1
1987,1712,1711,30,43,39,44,45,T,0.00,0.00,0.00,0.00,1,2,2,1
1987,2402,1708,39,41,37,40,45,F,0.00,0.00,0.00,0.00,4,2,3,5
1987,1708,1709,39,41,37,40,45,F,0.00,0.00,0.00,0.00,4,2,3,5
1987,1709,1711,39,41,37,40,45,T,0.00,0.00,0.00,0.00,4,2,3,5
1987,1701,2402,25,38,39,40,39,T,0.22,0.31,0.21,0.17,6,3,5,7
1987,2402,1701,34,33,34,36,48,T,0.00,0.00,0.02,0.26,4,5,5,4
1987,1711,1709,34,42,41,0,41,F,0.00,0.00,0.00,0.00,1,3,2,0
1987,1709,1708,34,42,41,0,41,F,0.00,0.00,0.00,0.00,1,3,2,0
1987,1708,2402,34,42,41,0,41,T,0.24,0.27,0.09,0.00,1,3,2,0
1987,2343,1534,17,20,25,24,22,T,0.00,0.00,0.00,0.00,7,3,3,4
