year,inode_upstream,jnode_downstream,am_peak_mean_speed_mph,am_off_peak_mean_speed_mph,pm_off_peak_mean_speed_mph,pm_peak_mean_speed_mph,free_flow_speed_mph,j_node_delay_flag,am_peak_signal_delay_minutes,am_off_peak_signal_delay_minutes,pm_off_peak_signal_delay_minutes,pm_peak_signal_delay_minutes,am_peak_sample_count,am_off_peak_sample_count,pm_off_peak_sample_count,pm_peak_sample_count
1987,1534,2342,17,20,25,24,22,T,1.87,1.28,0.58,0.49,7,3,3,4
1987,2342,3311,38,37,33,34,40,F,0.00,0.00,0.00,0.07,7,3,5,4
1987,3311,1535,38,37,33,34,40,F,0.00,0.00,0.00,0.07,7,3,5,4
1987,1535,2348,38,37,33,34,40,F,0.00,0.00,0.00,0.07,7,3,5,4
1987,2348,2349,38,37,33,34,40,T,0.25,0.45,0.39,0.12,7,3,5,4
1987,2342,1534,21,24,25,25,26,T,0.00,0.07,0.00,0.00,12,14,8,10
1987,1534,2343,21,24,25,25,26,T,0.64,0.72,0.48,0.63,12,14,8,10
1987,2349,2348,31,36,34,31,37,F,0.01,0.00,0.00,0.00,10,12,7,8
1987,2348,1535,31,36,34,31,37,F,0.01,0.00,0.00,0.00,10,12,7,8
1987,1535,3311,31,36,34,31,37,F,0.01,0.00,0.00,0.00,10,12,7,8
1987,3311,2342,31,36,34,31,37,T,1.04,0.52,0.65,0.90,10,12,7,8
1987,2349,3397,32,32,34,30,38,F,0.00,0.00,0.00,0.21,7,4,6,3
1987,3397,3395,32,32,34,30,38,F,0.00,0.00,0.00,0.21,7,4,6,3
1987,3395,1463,32,32,34,30,38,F,0.00,0.00,0.00,0.21,7,4,6,3
1987,1463,2350,32,32,34,30,38,T,0.00,0.07,0.00,0.15,7,4,6,3
1987,2350,1463,30,36,35,33,50,F,0.00,0.00,0.00,0.00,11,11,7,7
1987,1463,3395,30,36,35,33,50,F,0.00,0.00,0.00,0.00,11,11,7,7
1987,3395,3397,30,36,35,33,50,F,0.00,0.00,0.00,0.00,11,11,7,7
1987,3397,2349,30,36,35,33,50,T,0.90,0.33,0.22,0.30,11,11,7,7
1987,2367,1557,33,0,40,35,40,F,0.00,0.00,0.00,0.00,6,0,1,1
1987,1557,1906,33,0,40,35,40,F,0.00,0.00,0.00,0.00,6,0,1,1
1987,1906,1907,33,0,40,35,40,F,0.00,0.00,0.00,0.00,6,0,1,1
1987,1907,1526,33,0,40,35,40,F,0.00,0.00,0.00,0.00,6,0,1,1
1987,1526,2363,33,0,40,35,40,T,0.00,0.00,0.00,0.00,6,0,1,1
1987,2363,1526,17,38,29,38,34,F,0.00,0.00,0.00,0.00,3,4,5,2
1987,1526,1907,17,38,29,38,34,F,0.00,0.00,0.00,0.00,3,4,5,2
1987,1907,1906,17,38,29,38,34,F,0.00,0.00,0.00,0.00,3,4,5,2
1987,1906,1557,17,38,29,38,34,F,0.00,0.00,0.00,0.00,3,4,5,2
1987,1557,2367,17,38,29,38,34,T,1.32,0.03,1.28,0.34,3,4,5,2
1987,2438,1379,28,31,6,28,30,T,0.00,0.00,0.00,0.00,6,3,9,5
1987,1379,2235,28,31,6,28,30,T,0.72,0.31,0.56,0.77,6,3,9,5
1987,2235,1358,35,31,26,31,42,T,0.00,0.00,0.00,0.09,6,4,9,4
1987,1358,2228,35,31,26,31,42,T,0.21,0.03,0.03,0.19,6,4,9,4
1987,2228,3140,30,30,32,23,33,F,0.07,0.04,0.02,0.03,12,9,17,6
1987,3140,1350,30,30,32,23,33,F,0.07,0.04,0.02,0.03,12,9,17,6
1987,1350,2221,30,30,32,23,33,T,0.19,0.46,0.26,0.85,12,9,17,6
1987,2221,1333,28,30,28,23,29,F,0.02,0.00,0.06,0.02,4,2,5,3
1987,1333,2212,28,30,28,23,29,F,0.02,0.00,0.06,0.02,4,2,5,3
1987,2212,1321,28,30,28,23,29,F,0.02,0.00,0.06,0.02,4,2,5,3
1987,1321,3115,28,30,28,23,29,F,0.02,0.00,0.06,0.02,4,2,5,3
1987,3115,2213,28,30,28,23,29,T,0.24,0.15,0.10,0.59,4,2,5,3
1987,2213,3119,20,29,18,14,20,F,0.00,0.00,0.00,0.00,4,2,5,3
1987,3119,1320,20,29,18,14,20,F,0.00,0.00,0.00,0.00,4,2,5,3
1987,1320,2457,20,29,18,14,20,F,0.00,0.00,0.00,0.00,4,2,5,3
1987,2457,2214,20,29,18,14,20,T,0.39,0.04,0.68,0.91,4,2,5,3
1987,2214,2216,13,18,15,6,16,T,1.58,0.91,0.97,5.00,7,8,8,6
1987,2216,2214,30,14,16,17,21,T,0.27,1.06,1.04,1.10,3,3,3,3
1987,2214,2457,12,19,26,20,25,F,0.00,0.04,0.02,0.00,3,3,3,4
1987,2457,1320,12,19,26,20,25,F,0.00,0.04,0.02,0.00,3,3,3,4
1987,1320,3119,12,19,26,20,25,F,0.00,0.04,0.02,0.00,3,3,3,4
1987,3119,2213,12,19,26,20,25,T,1.02,0.21,0.13,0.33,3,3,3,4
1987,2213,3115,35,30,30,19,33,F,0.00,0.02,0.00,0.00,3,3,3,4
1987,3115,1321,35,30,30,19,33,F,0.00,0.02,0.00,0.00,3,3,3,4
1987,1321,2212,35,30,30,19,33,F,0.00,0.02,0.00,0.00,3,3,3,4
1987,2212,1333,35,30,30,19,33,F,0.00,0.02,0.00,0.00,3,3,3,4
1987,1333,2221,35,30,30,19,33,T,0.04,0.18,0.30,0.06,3,3,3,4
1987,2221,1350,28,35,8,27,38,F,0.14,0.04,0.07,0.14,4,19,9,9
1987,1350,3140,28,35,8,27,38,F,0.14,0.04,0.07,0.14,4,19,9,9
1987,3140,2228,28,35,8,27,38,T,0.00,0.05,0.02,0.10,4,19,9,9
1987,2228,1358,30,33,34,28,34,T,0.00,0.00,0.00,0.00,5,3,4,5
1987,1358,2235,30,33,34,28,34,T,0.69,0.48,0.30,0.57,5,3,4,5
1987,2235,1379,9,30,33,25,35,T,0.00,0.00,0.00,0.00,4,3,5,5
1987,1379,2438,9,30,33,25,35,T,7.42,0.27,0.33,1.04,4,3,5,5
1987,3436,3453,35,37,41,37,44,F,0.12,0.04,0.00,0.03,1,2,3,2
1987,3453,1453,35,37,41,37,44,F,0.12,0.04,0.00,0.03,1,2,3,2
1987,1453,1449,35,37,41,37,44,F,0.12,0.04,0.00,0.03,1,2,3,2
1987,1449,1912,35,37,41,37,44,F,0.12,0.04,0.00,0.03,1,2,3,2
1987,1912,3301,35,37,41,37,44,T,0.47,0.00,0.09,0.08,1,2,3,2
1987,2359,2358,12,14,12,5,14,T,0.47,0.33,0.48,1.60,12,6,9,6
1987,3301,1912,34,35,35,33,36,F,0.01,0.01,0.00,0.04,8,4,3,6
1987,1912,1449,34,35,35,33,36,F,0.01,0.01,0.00,0.04,8,4,3,6
1987,1449,1453,34,35,35,33,36,F,0.01,0.01,0.00,0.04,8,4,3,6
1987,1453,3453,34,35,35,33,36,F,0.01,0.01,0.00,0.04,8,4,3,6
1987,3453,3436,34,35,35,33,36,T,0.30,0.61,0.28,0.36,8,4,3,6
1987,2408,2412,38,40,40,6,49,T,0.00,0.00,0.00,0.00,17,7,20,5
1987,2412,1741,35,34,33,32,43,T,0.00,0.00,0.00,0.00,8,4,10,3
1987,1741,1742,35,29,35,33,44,T,0.00,0.00,0.00,0.01,18,6,19,14
1987,1742,2411,26,38,37,19,45,T,0.02,0.00,0.04,0.00,17,8,18,9
1987,2412,2408,32,34,43,22,44,T,0.00,0.00,0.00,0.07,7,8,2,7
1987,1741,2412,0,33,31,35,0,T,0.00,0.00,0.00,0.00,0,7,4,4
1987,1742,1741,38,34,40,41,42,T,0.00,0.00,0.00,0.00,4,6,2,9
1987,2411,1742,37,42,39,39,46,T,0.03,0.00,0.11,0.00,6,5,4,5
1987,2206,2225,0,52,60,45,0,T,0.00,0.00,0.00,0.00,0,4,4,2
1987,2225,2206,51,58,53,53,0,T,0.00,0.00,0.00,0.00,4,10,4,2
1987,1369,1366,24,30,28,18,35,T,0.01,0.00,0.01,0.00,10,6,12,2
1987,1369,2910,20,21,24,22,24,F,0.06,0.02,0.01,0.00,4,5,7,3
1987,2910,1370,20,21,24,22,24,F,0.06,0.02,0.01,0.00,4,5,7,3
1987,1370,3150,20,21,24,22,24,F,0.06,0.02,0.01,0.00,4,5,7,3
1987,3150,1481,20,21,24,22,24,F,0.06,0.02,0.01,0.00,4,5,7,3
1987,1481,3077,20,21,24,22,24,F,0.06,0.02,0.01,0.00,4,5,7,3
1987,3077,2271,20,21,24,22,24,T,0.75,1.13,0.59,0.56,4,5,7,3
1987,1696,2403,14,14,6,12,19,T,0.00,0.00,0.00,0.00,4,2,3,5
1987,2403,1696,11,16,13,20,24,T,0.00,0.00,0.00,0.00,2,3,2,1
1987,4529,1802,29,25,21,10,25,T,0.00,0.00,0.00,0.00,8,5,8,4
1987,1802,2216,29,25,21,10,25,T,0.16,0.56,0.71,2.25,8,5,8,4
1987,2216,1314,15,23,20,9,22,F,0.00,0.03,0.03,0.04,15,16,15,10
1987,1314,1814,15,23,20,9,22,F,0.00,0.03,0.03,0.04,15,16,15,10
1987,1814,2219,15,23,20,9,22,T,1.30,0.75,0.77,1.89,15,16,15,10
1987,2219,2442,24,27,21,19,29,F,0.13,0.00,0.04,0.00,7,9,7,5
1987,2442,3137,24,27,21,19,29,F,0.13,0.00,0.04,0.00,7,9,7,5
1987,3137,1327,24,27,21,19,29,T,0.05,0.32,0.29,0.72,7,9,7,5
1987,1327,3163,34,35,31,40,45,T,0.03,0.00,0.00,0.00,7,7,7,6
1987,3163,3165,34,35,31,40,45,T,0.07,0.08,0.11,0.00,7,7,7,6
1987,3165,1341,36,30,18,25,25,F,0.10,0.03,0.05,0.12,6,6,7,6
1987,1341,2240,36,30,18,25,25,F,0.10,0.03,0.05,0.12,6,6,7,6
1987,2240,2259,36,30,18,25,25,T,0.00,0.08,2.70,0.91,6,6,7,6
1987,2259,3402,13,8,7,0,12,T,0.13,0.00,0.79,0.64,6,4,6,5
1987,3402,2260,23,14,15,1,22,T,0.09,0.23,0.29,0.05,17,12,17,7
1987,2260,2261,27,28,30,24,34,F,0.12,0.13,0.07,0.21,12,15,14,6
1987,2261,1396,27,28,30,24,34,F,0.12,0.13,0.07,0.21,12,15,14,6
1987,1396,2263,27,28,30,24,34,T,0.69,0.62,0.73,1.15,12,15,14,6
1987,2263,2265,19,27,20,16,27,T,0.55,0.18,0.51,0.76,11,14,15,6
1987,2265,1541,40,39,38,32,42,F,0.00,0.02,0.04,0.01,11,13,13,6
1987,1541,2316,40,39,38,32,42,F,0.00,0.02,0.04,0.01,11,13,13,6
1987,2316,3510,40,39,38,32,42,F,0.00,0.02,0.04,0.01,11,13,13,6
1987,3510,1548,40,39,38,32,42,F,0.00,0.02,0.04,0.01,11,13,13,6
1987,1548,1538,40,39,38,32,42,T,0.16,0.23,0.20,0.59,11,13,13,6
1987,1538,2341,8,16,16,14,17,T,1.24,0.48,0.57,0.58,9,13,13,7
1987,2341,1538,27,31,20,24,29,T,0.09,0.10,0.40,0.22,5,5,6,2
1987,1538,1548,25,36,38,40,36,F,0.06,0.07,0.09,0.00,5,5,7,2
1987,1548,3510,25,36,38,40,36,F,0.06,0.07,0.09,0.00,5,5,7,2
1987,3510,2316,25,36,38,40,36,F,0.06,0.07,0.09,0.00,5,5,7,2
1987,2316,1541,25,36,38,40,36,F,0.06,0.07,0.09,0.00,5,5,7,2
1987,1541,2265,25,36,38,40,36,T,1.72,0.03,0.00,0.33,5,5,7,2
1987,2265,2263,15,30,19,14,22,T,0.74,0.22,0.57,1.08,5,5,7,2
1987,2263,1396,12,32,34,31,37,F,0.86,0.18,0.06,0.00,9,5,12,2
1987,1396,2261,12,32,34,31,37,F,0.86,0.18,0.06,0.00,9,5,12,2
1987,2261,2260,12,32,34,31,37,T,0.61,0.09,0.38,0.30,9,5,12,2
1987,2260,3402,8,1,14,6,21,T,0.26,0.18,0.26,1.31,12,6,15,4
1987,3402,2259,12,14,14,16,15,T,0.02,0.38,0.33,0.15,8,3,8,2
1987,2259,2240,33,36,39,34,42,F,0.15,0.11,0.04,0.27,7,3,8,2
1987,2240,1341,33,36,39,34,42,F,0.15,0.11,0.04,0.27,7,3,8,2
1987,1341,3165,33,36,39,34,42,T,0.00,0.00,0.06,0.00,7,3,8,2
1987,3165,3163,19,39,37,43,68,T,0.00,0.00,0.00,0.00,7,3,8,2
1987,3163,1327,11,21,23,15,25,T,0.28,0.25,0.21,0.50,9,4,11,5
1987,1327,3137,14,16,22,20,18,F,0.06,0.00,0.05,0.06,8,5,10,4
1987,3137,2442,14,16,22,20,18,F,0.06,0.00,0.05,0.06,8,5,10,4
1987,2442,2219,14,16,22,20,18,T,1.63,1.19,0.33,0.80,8,5,10,4
1987,2219,1814,30,27,29,27,42,F,0.03,0.02,0.00,0.13,11,8,11,6
1987,1814,1314,30,27,29,27,42,F,0.03,0.02,0.00,0.13,11,8,11,6
1987,1314,2216,30,27,29,27,42,T,0.05,0.19,0.03,0.00,11,8,11,6
1987,2216,1802,25,27,35,30,46,T,0.00,0.00,0.00,0.00,6,6,7,3
1987,1802,4529,25,27,35,30,46,T,0.00,0.00,0.00,0.00,6,6,7,3
1987,3360,2417,47,0,34,0,47,T,0.00,0.00,0.00,0.00,1,0,2,0
1987,2417,3360,0,56,0,49,0,T,0.00,0.00,0.00,0.00,0,1,0,1
1987,2399,1683,38,41,41,41,45,F,0.00,0.00,0.00,0.00,5,3,5,2
1987,1683,2393,38,41,41,41,45,F,0.00,0.00,0.00,0.00,5,3,5,2
1987,2393,1684,38,41,41,41,45,F,0.00,0.00,0.00,0.00,5,3,5,2
1987,1684,1326,38,41,41,41,45,F,0.00,0.00,0.00,0.00,5,3,5,2
1987,1326,2423,38,41,41,41,45,T,0.13,0.25,0.10,0.45,5,3,5,2
1987,2423,2422,29,30,23,24,30,F,0.14,0.03,0.22,0.32,5,5,5,2
1987,2422,2904,29,30,23,24,30,F,0.14,0.03,0.22,0.32,5,5,5,2
1987,2904,2420,29,30,23,24,30,F,0.14,0.03,0.22,0.32,5,5,5,2
1987,2420,1725,29,30,23,24,30,F,0.14,0.03,0.22,0.32,5,5,5,2
1987,1725,3360,29,30,23,24,30,T,0.00,0.00,0.00,0.00,5,5,5,2
1987,2417,1726,2,33,23,34,47,T,0.00,0.00,0.00,0.00,5,4,8,3
1987,1726,2415,2,33,23,34,47,T,0.23,0.00,0.50,0.06,5,4,8,3
1987,2415,1726,43,39,43,35,56,T,0.00,0.00,0.00,0.00,6,7,3,5
1987,1726,2417,43,39,43,35,56,T,0.00,0.00,0.00,0.00,6,7,3,5
1987,3360,1725,23,37,28,23,34,F,0.13,0.03,0.09,0.04,5,3,2,3
1987,1725,2420,23,37,28,23,34,F,0.13,0.03,0.09,0.04,5,3,2,3
1987,2420,2904,23,37,28,23,34,F,0.13,0.03,0.09,0.04,5,3,2,3
1987,2904,2422,23,37,28,23,34,F,0.13,0.03,0.09,0.04,5,3,2,3
1987,2422,2423,23,37,28,23,34,T,0.77,0.00,0.34,0.25,5,3,2,3
1987,2423,1326,37,39,42,40,43,F,0.00,0.00,0.00,0.00,7,6,3,3
1987,1326,1684,37,39,42,40,43,F,0.00,0.00,0.00,0.00,7,6,3,3
1987,1684,2393,37,39,42,40,43,F,0.00,0.00,0.00,0.00,7,6,3,3
1987,2393,1683,37,39,42,40,43,F,0.00,0.00,0.00,0.00,7,6,3,3
1987,1683,2399,37,39,42,40,43,T,0.00,0.00,0.00,0.00,7,6,3,3
1987,2246,1608,31,39,34,30,40,F,0.15,0.02,0.08,0.13,8,7,11,3
1987,1608,1607,31,39,34,30,40,F,0.15,0.02,0.08,0.13,8,7,11,3
1987,1607,3176,31,39,34,30,40,T,0.00,0.00,0.00,0.00,8,7,11,3
1987,3176,3178,40,49,40,20,95,T,0.00,0.00,0.00,0.00,8,6,9,3
1987,3178,1385,32,31,30,23,46,T,0.00,0.00,0.00,0.17,8,5,11,4
1987,1385,3108,23,32,16,11,20,T,0.00,0.00,0.00,0.00,2,2,3,2
1987,3108,2249,23,32,16,11,20,T,0.00,0.27,1.20,2.44,2,2,3,2
1987,2249,3108,24,0,19,13,16,T,0.00,0.00,0.00,0.11,2,0,2,2
1987,3108,1385,24,0,19,13,16,T,0.35,0.00,0.94,1.54,2,0,2,2
1987,1385,3178,35,35,37,32,47,T,0.00,0.00,0.00,0.00,1,16,4,6
1987,3178,3176,45,45,57,38,63,T,0.00,0.00,0.00,0.00,2,11,3,5
1987,3176,1607,27,26,33,19,35,F,0.00,0.26,0.06,0.44,1,15,3,6
1987,1607,1608,27,26,33,19,35,F,0.00,0.26,0.06,0.44,1,15,3,6
1987,1608,2246,27,26,33,19,35,T,0.00,0.01,0.00,0.00,1,15,3,6
1987,1507,3218,29,24,33,20,30,T,0.00,0.00,0.00,0.00,5,2,5,1
1987,3218,2361,29,24,33,20,30,T,0.28,0.62,0.23,1.18,5,2,5,1
1987,2361,3218,38,0,38,32,40,T,0.00,0.00,0.00,0.00,4,0,5,1
1987,3218,1507,38,0,38,32,40,T,0.00,0.00,0.00,0.00,4,0,5,1
1987,3125,1325,34,30,16,6,22,T,0.00,0.00,0.00,0.00,4,6,7,8
1987,1325,2219,34,30,16,6,22,T,0.00,0.08,1.14,2.52,4,6,7,8
1987,2219,1316,30,36,32,26,46,T,0.00,0.00,0.00,0.00,8,4,9,8
1987,1316,1317,30,36,32,26,46,T,0.33,0.19,0.43,0.62,8,4,9,8
1987,1317,1318,28,28,28,17,29,F,0.07,0.11,0.11,0.15,14,13,17,11
1987,1318,2272,28,28,28,17,29,F,0.07,0.11,0.11,0.15,14,13,17,11
1987,2272,1319,28,28,28,17,29,F,0.07,0.11,0.11,0.15,14,13,17,11
1987,1319,3075,28,28,28,17,29,F,0.07,0.11,0.11,0.15,14,13,17,11
1987,3075,2273,28,28,28,17,29,T,0.45,0.41,0.37,0.96,14,13,17,11
1987,2273,2275,1,25,26,8,37,T,0.47,0.06,0.06,0.51,13,13,18,10
1987,2275,1466,4,19,16,5,14,T,0.38,0.25,0.48,1.23,11,10,16,7
1987,1466,2279,4,19,16,5,14,T,1.04,0.24,0.53,1.19,11,10,16,7
1987,2279,1409,18,22,21,9,23,T,0.12,0.21,0.21,0.47,12,11,17,8
1987,1409,2282,18,22,21,9,23,T,0.50,0.19,0.33,1.20,12,11,17,8
1987,2282,1405,15,15,16,10,15,F,0.54,0.28,0.40,1.01,12,10,16,8
1987,1405,2440,15,15,16,10,15,F,0.54,0.28,0.40,1.01,12,10,16,8
1987,2440,4776,15,15,16,10,15,T,1.09,1.52,1.02,1.50,12,10,16,8
1987,2279,1466,11,16,0,16,11,T,0.00,0.51,0.00,0.76,2,2,0,3
1987,1466,2275,11,16,0,16,11,T,1.20,0.46,0.00,0.07,2,2,0,3
1987,4776,2440,14,24,17,15,23,F,0.95,0.32,0.00,0.74,6,3,0,4
1987,2440,1405,14,24,17,15,23,F,0.95,0.32,0.00,0.74,6,3,0,4
1987,1405,2282,14,24,17,15,23,T,0.89,0.06,0.59,0.33,6,3,0,4
1987,2282,1409,12,16,23,12,22,T,0.58,0.35,0.06,0.81,6,3,4,4
1987,1409,2279,12,16,23,12,22,T,1.26,0.28,0.34,0.70,6,3,4,4
1987,2275,2273,8,13,16,12,15,T,1.08,0.56,0.40,0.70,9,6,9,6
1987,2273,3075,26,33,32,26,33,F,0.18,0.08,0.10,0.09,18,7,17,4
1987,3075,1319,26,33,32,26,33,F,0.18,0.08,0.10,0.09,18,7,17,4
1987,1319,2272,26,33,32,26,33,F,0.18,0.08,0.10,0.09,18,7,17,4
1987,2272,1318,26,33,32,26,33,F,0.18,0.08,0.10,0.09,18,7,17,4
1987,1318,1317,26,33,32,26,33,T,0.13,0.07,0.00,0.78,18,7,17,4
1987,1317,1316,6,26,19,11,20,T,0.00,0.00,0.00,0.00,6,1,4,2
1987,1316,2219,6,26,19,11,20,T,4.81,0.83,1.43,1.92,6,1,4,2
1987,2219,1325,19,18,19,10,19,F,0.02,0.10,0.12,0.38,11,9,9,6
1987,1325,3125,19,18,19,10,19,F,0.02,0.10,0.12,0.38,11,9,9,6
1987,3125,2218,19,18,19,10,19,T,0.85,1.05,0.73,0.79,11,9,9,6
1987,1759,3350,29,39,30,29,53,T,0.00,0.00,0.00,0.00,3,5,4,2
1987,3350,1764,29,39,30,29,53,T,0.52,0.16,0.49,0.62,3,5,4,2
1987,1764,3350,32,32,36,26,34,T,0.00,0.00,0.00,0.00,1,2,1,2
1987,3350,1759,32,32,36,26,34,T,0.57,0.26,0.00,0.84,1,2,1,2
1987,2398,1662,38,0,37,38,43,T,0.00,0.00,0.00,0.00,3,0,4,2
1987,1662,1673,38,0,37,38,43,T,0.00,0.00,0.00,0.00,3,0,4,2
1987,1673,1662,38,37,40,36,46,T,0.00,0.00,0.00,0.00,10,15,12,11
1987,1662,2398,38,37,40,36,46,T,0.02,0.01,0.00,0.01,10,15,12,11
