LINKID,LENGTH,ROUTETYP,AREACODE,LANES,VDF,LINKFLOW,SPEED,LANEFLOW,DELAY,SPEEDFF,LLENGTH,LSPEED,LSPEEDFF,LLANES,LLANEFLO,LDELAY,VCR,VCR2,VCR3,VCR4,INBELT,RURAL,LOSTSPD,VCR5,VCR6,VCR7,LANES1,LANES2,LANES3,LANES4,TIMECONG,TIMEFF,LINKDEL,LINKDELRAT,ESTSPD,SQDERR,SQRTLEN,DELPMIL,RT4,RT3,RT2,ESTTIME,ACTTIME,ACTTIMFF,FLOWDEL,APPRDEL,,Link Stopped Delay,Link Running Time,Approach Delay,Flow Delay,,InBelt,,,,,Rural,,,,,OUTBELT,,,
13761900,0.67,1,20,2,11,1009.05,39,504.53,0,46,-0.4,3.664,3.829,0.693,6.224,        .   ,0.336,0.113,0.038,0.013,0,0,7,0.004,0.001,0,0,1,0,0,1.031,0.874,0.157,0.179,33.522,30.014,0.819,0,0,0,1,1.199,1.031,0.874,0.084,0,,0,1209.85095,0,84.7602,,0,0,0,0,,0,0,0,0,,0,1209.85095,0,84.7602
19431400,0.67,1,20,2,11,452.91,36,226.46,0,45,-0.4,3.584,3.807,0.693,5.423,        .   ,0.151,0.023,0.003,0.001,0,0,9,0,0,0,0,1,0,0,1.117,0.893,0.223,0.25,34.397,2.57,0.819,0,0,0,1,1.169,1.117,0.893,0.037,0,,0,529.4517900000001,0,16.75767,,0,0,0,0,,0,0,0,0,,0,529.4517900000001,0,16.75767
13262400,0.26,2,77,1,27,255.78,38,255.78,0.13,45,-1.347,3.638,3.807,0,5.544,-2.04,0.171,0.029,0.005,0.001,0,0,7,0,0,0,1,0,0,0,0.411,0.347,0.064,0.184,32.73,27.768,0.51,0.5,0,0,1,0.477,0.411,0.347,0.018,0.008,,33.251400000000004,122.00706,2.04624,4.6040399999999995,,0,0,0,0,,0,0,0,0,,33.251400000000004,122.00706,2.04624,4.6040399999999995
13582200,0.29,2,10,1,19,697.68,35,697.68,0.21,42,-1.238,3.555,3.738,0,6.548,-1.561,0.465,0.216,0.101,0.047,1,0,7,0.022,0.01,0.005,1,0,0,0,0.497,0.414,0.083,0.2,26.872,66.065,0.539,0.724,0,0,1,0.648,0.497,0.414,0.041,0.022,,146.51279999999997,452.09664,15.348959999999998,28.604879999999998,,146.51279999999997,452.09664,15.348959999999998,28.604879999999998,,0,0,0,0,,0,0,0,0
13582200,1.13,2,10,1,19,213.18,30,213.18,0.69,34,0.122,3.401,3.526,0,5.362,-0.371,0.142,0.02,0.003,0,1,0,4,0,0,0,1,0,0,0,2.26,1.994,0.266,0.133,28.005,3.98,1.063,0.611,0,0,1,2.421,2.26,1.994,0.047,0.238,,147.0942,516.10878,50.73684,10.01946,,147.0942,516.10878,50.73684,10.01946,,0,0,0,0,,0,0,0,0
13731400,1.19,2,21,1,19,205.64,31,205.64,0,35,0.174,3.434,3.555,0,5.326,        .   ,0.137,0.019,0.003,0,0,0,4,0,0,0,1,0,0,0,2.303,2.04,0.263,0.129,30.87,0.017,1.091,0,0,0,1,2.313,2.303,2.04,0.075,0,,0,475.64532,0,15.422999999999998,,0,0,0,0,,0,0,0,0,,0,475.64532,0,15.422999999999998
13731900,0.44,2,20,1,19,334.65,35,334.65,0,35,-0.821,3.555,3.526,0,5.813,        .   ,0.223,0.05,0.011,0.002,0,0,-1,0.001,0,0,1,0,0,0,0.754,0.754,0,0,28.239,45.713,0.663,0,0,0,1,0.935,0.754,0.754,0.052,0,,0,312.89775,0,17.401799999999998,,0,0,0,0,,0,0,0,0,,0,312.89775,0,17.401799999999998
13741400,1.19,2,21,1,19,768.24,35,768.24,0,35,0.174,3.555,3.526,0,6.644,        .   ,0.512,0.262,0.134,0.069,0,0,-1,0.035,0.018,0.009,1,0,0,0,2.04,2.04,0,0,28.057,48.206,1.091,0,0,0,1,2.545,2.04,2.04,0.308,0,,0,1955.1707999999999,0,236.61792,,0,0,0,0,,0,0,0,0,,0,1955.1707999999999,0,236.61792
13742200,0.22,2,21,1,19,493.96,31,493.96,0.72,35,-1.514,3.434,3.555,0,6.202,-0.329,0.329,0.108,0.036,0.012,0,0,4,0.004,0.001,0,1,0,0,0,0.426,0.377,0.049,0.129,23.669,53.748,0.469,3.273,0,0,1,0.558,0.426,0.377,0.053,0.065,,355.65119999999996,275.62968,32.1074,26.179879999999997,,0,0,0,0,,0,0,0,0,,355.65119999999996,275.62968,32.1074,26.179879999999997
13802200,0.92,2,21,1,19,1372.14,34,1372.14,0.29,41,-0.083,3.526,3.714,0,7.224,-1.238,0.915,0.837,0.765,0.7,0,0,7,0.641,0.586,0.536,1,0,0,0,1.624,1.346,0.277,0.206,26.127,61.981,0.959,0.315,0,0,1,2.113,1.624,1.346,0.441,0.097,,397.9206,2899.3318200000003,133.09758000000002,605.11374,,0,0,0,0,,0,0,0,0,,397.9206,2899.3318200000003,133.09758000000002,605.11374
