LINKID,LENGTH,ROUTETYP,AREACODE,LANES,VDF,LINKFLOW,SPEED,LANEFLOW,DELAY,SPEEDFF,LLENGTH,LSPEED,LSPEEDFF,LLANES,LLANEFLO,LDELAY,VCR,VCR2,VCR3,VCR4,INBELT,RURAL,LOSTSPD,VCR5,VCR6,VCR7,LANES1,LANES2,LANES3,LANES4,TIMECONG,TIMEFF,LINKDEL,LINKDELRAT,ESTSPD,SQDERR,SQRTLEN,DELPMIL,RT4,RT3,RT2,ESTTIME,ACTTIME,ACTTIMFF,FLOWDEL,APPRDEL,,Link Stopped Delay,Link Running Time,Approach Delay,Flow Delay,,InBelt,,,,,Rural,,,,,OUTBELT,,,
13802400,0.41,2,21,1,19,656.64,31,656.64,0.62,43,-0.892,3.434,3.761,0,6.487,-0.478,0.438,0.192,0.084,0.037,0,0,12,0.016,0.007,0.003,1,0,0,0,0.794,0.572,0.221,0.387,27.922,9.476,0.64,1.512,0,0,1,0.881,0.794,0.572,0.093,0.077,,407.1168,578.49984,50.56128,61.06752,,0,0,0,0,,0,0,0,0,,407.1168,578.49984,50.56128,61.06752
14511500,0.79,2,42,1,20,600.93,28,600.93,0,44,-0.236,3.332,3.784,0,6.398,        .   ,0.401,0.16,0.064,0.026,0,0,16,0.01,0.004,0.002,1,0,0,0,1.693,1.077,0.616,0.571,32.469,19.974,0.889,0,0,0,1,1.46,1.693,1.077,0.124,0,,0,877.3577999999999,0,74.51531999999999,,0,0,0,0,,0,0,0,0,,0,877.3577999999999,0,74.51531999999999
14512400,1.42,2,43,1,20,889.44,37,889.44,0,43,0.351,3.611,3.761,0,6.791,        .   ,0.593,0.352,0.208,0.124,0,0,6,0.073,0.043,0.026,1,0,0,0,2.303,1.981,0.321,0.162,32.18,23.233,1.192,0,0,0,1,2.648,2.303,1.981,0.323,0,,0,2355.2371200000002,0,287.28912,,0,0,0,0,,0,0,0,0,,0,2355.2371200000002,0,287.28912
14521500,0.79,2,42,1,20,853.38,37,853.38,0,43,-0.236,3.611,3.761,0,6.749,        .   ,0.569,0.324,0.184,0.105,0,0,6,0.06,0.034,0.019,1,0,0,0,1.281,1.102,0.179,0.162,30.692,39.791,0.889,0,0,0,1,1.544,1.281,1.102,0.189,0,,0,1317.61872,0,161.28882,,0,0,0,0,,0,0,0,0,,0,1317.61872,0,161.28882
14522400,0.79,2,42,1,20,437,28,437,0,44,-0.236,3.332,3.784,0,6.08,        .   ,0.291,0.085,0.025,0.007,0,0,16,0.002,0.001,0,1,0,0,0,1.693,1.077,0.616,0.571,33.289,27.973,0.889,0,0,0,1,1.424,1.693,1.077,0.088,0,,0,622.288,0,38.455999999999996,,0,0,0,0,,0,0,0,0,,0,622.288,0,38.455999999999996
14543400,0.35,2,42,1,8,922.48,38,922.48,0,44,-1.05,3.638,3.784,0,6.827,        .   ,0.615,0.378,0.233,0.143,0,0,6,0.088,0.054,0.033,1,0,0,0,0.553,0.477,0.075,0.158,29.696,68.95,0.592,0,0,0,1,0.707,0.553,0.477,0.095,0,,0,652.19336,0,87.6356,,0,0,0,0,,0,0,0,0,,0,652.19336,0,87.6356
14552400,0.47,2,42,1,8,859.51,16,859.51,1.99,41,-0.755,2.773,3.714,0,6.756,0.688,0.573,0.328,0.188,0.108,0,0,25,0.062,0.035,0.02,1,0,0,0,1.763,0.688,1.075,1.563,19.964,15.716,0.686,4.234,0,0,1,1.413,1.763,0.688,0.251,0.427,,1710.4249,1214.48763,367.01077,215.73701,,0,0,0,0,,0,0,0,0,,1710.4249,1214.48763,367.01077,215.73701
14552400,0.42,2,42,1,8,358.02,31,358.02,0.16,47,-0.868,3.434,3.85,0,5.881,-1.833,0.239,0.057,0.014,0.003,0,0,16,0.001,0,0,1,0,0,0,0.813,0.536,0.277,0.516,33.54,6.451,0.648,0.381,0,0,1,0.751,0.813,0.536,0.038,0.015,,57.2832,268.87302,5.370299999999999,13.604759999999999,,0,0,0,0,,0,0,0,0,,57.2832,268.87302,5.370299999999999,13.604759999999999
14562300,0.43,2,37,1,17,1107.74,7,1107.74,1.02,25,-0.844,1.946,3.219,0,7.01,0.02,0.738,0.545,0.403,0.297,0,0,18,0.22,0.162,0.12,1,0,0,0,3.686,1.032,2.654,2.571,14.676,58.926,0.656,2.372,0,0,1,1.758,3.686,1.032,0.483,0.407,,1129.8948,1947.4069200000001,450.85017999999997,535.03842,,0,0,0,0,,0,0,0,0,,1129.8948,1947.4069200000001,450.85017999999997,535.03842
15012400,0.67,2,42,1,9,983.25,37,983.25,0,41,-0.4,3.611,3.714,0,6.891,        .   ,0.656,0.43,0.282,0.185,0,0,4,0.121,0.079,0.052,1,0,0,0,1.086,0.98,0.106,0.108,28.695,68.975,0.819,0,0,0,1,1.401,1.086,0.98,0.206,0,,0,1377.53325,0,202.5495,,0,0,0,0,,0,0,0,0,,0,1377.53325,0,202.5495
15012400,0.34,2,42,1,9,520.89,36,520.89,0.07,38,-1.079,3.584,3.638,0,6.256,-2.659,0.347,0.121,0.042,0.015,0,0,2,0.005,0.002,0.001,1,0,0,0,0.567,0.537,0.03,0.056,28.278,59.635,0.583,0.206,0,0,1,0.721,0.567,0.537,0.061,0.008,,36.4623,375.56169,4.16712,31.774289999999997,,0,0,0,0,,0,0,0,0,,36.4623,375.56169,4.16712,31.774289999999997
15022400,0.24,2,43,1,9,739.14,37,739.14,0.1,41,-1.427,3.611,3.714,0,6.605,-2.303,0.493,0.243,0.12,0.059,0,0,4,0.029,0.014,0.007,1,0,0,0,0.389,0.351,0.038,0.108,28.334,75.106,0.49,0.417,0,0,1,0.508,0.389,0.351,0.059,0.008,,73.914,375.48312,5.91312,43.60926,,0,0,0,0,,0,0,0,0,,73.914,375.48312,5.91312,43.60926
15022400,1.07,2,43,1,9,433.62,36,433.62,0.22,38,0.068,3.584,3.638,0,6.072,-1.514,0.289,0.084,0.024,0.007,0,0,2,0.002,0.001,0,1,0,0,0,1.783,1.689,0.094,0.056,29.982,36.214,1.034,0.206,0,0,1,2.141,1.783,1.689,0.145,0.066,,95.3964,928.3804200000001,28.618920000000003,62.8749,,0,0,0,0,,0,0,0,0,,95.3964,928.3804200000001,28.618920000000003,62.8749
15072400,0.94,2,49,1,20,692.58,29,692.58,0.85,40,-0.062,3.367,3.689,0,6.54,-0.163,0.462,0.213,0.098,0.045,0,0,11,0.021,0.01,0.004,1,0,0,0,1.945,1.41,0.535,0.379,26.581,5.851,0.97,0.904,0,0,1,2.122,1.945,1.41,0.245,0.259,,588.693,1469.65476,179.37822000000003,169.68210000000002,,0,0,0,0,,0,0,0,0,,588.693,1469.65476,179.37822000000003,169.68210000000002
15073200,0.51,2,49,1,19,5.94,29,5.94,0,33,-0.673,3.367,3.497,0,1.782,        .   ,0.004,0,0,0,0,0,4,0,0,0,1,0,0,0,1.055,0.927,0.128,0.138,29.038,0.001,0.714,0,0,0,1,1.054,1.055,0.927,0.001,0,,0,6.26076,0,0.005940000000000001,,0,0,0,0,,0,0,0,0,,0,6.26076,0,0.005940000000000001
15113300,0.78,2,49,1,8,552,38,552,0,38,-0.248,3.638,3.497,0,6.314,        .   ,0.368,0.135,0.05,0.018,0,0,-5,0.007,0.002,0.001,1,0,0,0,1.232,1.232,0,0,29.597,70.603,0.883,0,0,0,1,1.581,1.232,1.232,0.135,0,,0,872.712,0,74.52000000000001,,0,0,0,0,,0,0,0,0,,0,872.712,0,74.52000000000001
15143300,0.36,2,49,1,8,1121.12,16,1121.12,0.13,39,-1.022,2.773,3.664,0,7.022,-2.04,0.747,0.559,0.418,0.312,0,0,23,0.233,0.174,0.13,1,0,0,0,1.35,0.554,0.796,1.438,25.579,91.748,0.6,0.361,0,0,1,0.844,1.35,0.554,0.152,0.018,,145.7456,946.2252799999999,20.180159999999997,170.41024,,0,0,0,0,,0,0,0,0,,145.7456,946.2252799999999,20.180159999999997,170.41024
15151800,0.25,2,49,1,19,656.5,32,656.5,0,33,-1.386,3.466,3.497,0,6.487,        .   ,0.438,0.192,0.084,0.037,0,0,1,0.016,0.007,0.003,1,0,0,0,0.469,0.455,0.014,0.031,25.097,47.658,0.5,0,0,0,1,0.598,0.469,0.455,0.069,0,,0,392.587,0,45.298500000000004,,0,0,0,0,,0,0,0,0,,0,392.587,0,45.298500000000004
15153300,0.42,2,49,1,17,899.64,21,899.64,0.02,32,-0.868,3.045,3.466,0,6.802,-3.912,0.6,0.36,0.216,0.129,0,0,11,0.078,0.047,0.028,1,0,0,0,1.2,0.788,0.413,0.524,23.727,7.438,0.648,0.048,0,0,1,1.062,1.2,0.788,0.17,0.004,,17.9928,955.41768,3.59856,152.93880000000001,,0,0,0,0,,0,0,0,0,,17.9928,955.41768,3.59856,152.93880000000001
15162400,0.46,2,49,1,19,629.34,24,629.34,1.08,30,-0.777,3.178,3.401,0,6.445,0.077,0.42,0.176,0.074,0.031,0,0,6,0.013,0.005,0.002,1,0,0,0,1.15,0.92,0.23,0.25,19.457,20.64,0.678,2.348,0,0,1,1.419,1.15,0.92,0.198,0.275,,679.6872000000001,893.0334600000001,173.06850000000003,124.60932000000001,,0,0,0,0,,0,0,0,0,,679.6872000000001,893.0334600000001,173.06850000000003,124.60932000000001
15191500,1.56,2,43,1,17,105.73,41,105.73,0,47,0.445,3.714,3.85,0,4.661,        .   ,0.07,0.005,0,0,0,0,6,0,0,0,1,0,0,0,2.283,1.991,0.291,0.146,38.529,6.105,1.249,0,0,0,1,2.429,2.283,1.991,0.033,0,,0,256.81817,0,3.4890900000000005,,0,0,0,0,,0,0,0,0,,0,256.81817,0,3.4890900000000005
15201500,1.56,2,43,1,17,487.91,47,487.91,0,47,0.445,3.85,3.85,0,6.19,        .   ,0.325,0.106,0.034,0.011,0,0,0,0.004,0.001,0,1,0,0,0,1.991,1.991,0,0,36.618,107.779,1.249,0,0,0,1,2.556,1.991,1.991,0.16,0,,0,1247.09796,0,78.0656,,0,0,0,0,,0,0,0,0,,0,1247.09796,0,78.0656
15232400,0.37,2,49,1,17,921.69,26,921.69,0,48,-0.994,3.258,3.871,0,6.826,        .   ,0.614,0.378,0.232,0.143,0,0,22,0.088,0.054,0.033,1,0,0,0,0.854,0.463,0.391,0.846,31.813,33.795,0.608,0,0,0,1,0.698,0.854,0.463,0.089,0,,0,643.33962,0,82.03041,,0,0,0,0,,0,0,0,0,,0,643.33962,0,82.03041
15232400,1.95,2,48,1,17,139.74,41,139.74,0,43,0.668,3.714,3.761,0,4.94,        .   ,0.093,0.009,0.001,0,0,0,2,0,0,0,1,0,0,0,2.854,2.721,0.133,0.049,37.332,13.455,1.396,0,0,0,1,3.134,2.854,2.721,0.058,0,,0,437.94516,0,8.104920000000002,,0,0,0,0,,0,0,0,0,,0,437.94516,0,8.104920000000002
15252400,0.15,2,49,1,17,701,18,701,0,47,-1.897,2.89,3.85,0,6.553,        .   ,0.467,0.218,0.102,0.048,0,0,29,0.022,0.01,0.005,1,0,0,0,0.5,0.191,0.309,1.611,31.819,190.97,0.387,0,0,0,1,0.283,0.5,0.191,0.028,0,,0,198.38299999999998,0,19.628,,0,0,0,0,,0,0,0,0,,0,198.38299999999998,0,19.628
15442300,0.48,2,31,1,19,254.88,35,254.88,0,35,-0.734,3.555,3.434,0,5.541,        .   ,0.17,0.029,0.005,0.001,0,0,-4,0,0,0,1,0,0,0,0.823,0.823,0,0,28.744,39.142,0.693,0,0,0,1,1.002,0.823,0.823,0.043,0,,0,255.38976,0,10.95984,,0,0,0,0,,0,0,0,0,,0,255.38976,0,10.95984
15602400,0.79,2,43,1,17,241,44,241,0,49,-0.236,3.784,3.892,0,5.485,        .   ,0.161,0.026,0.004,0.001,0,0,5,0,0,0,1,0,0,0,1.077,0.967,0.11,0.114,36.844,51.209,0.889,0,0,0,1,1.287,1.077,0.967,0.041,0,,0,310.167,0,9.881,,0,0,0,0,,0,0,0,0,,0,310.167,0,9.881
15612500,0.47,2,56,1,17,771.84,22,771.84,0,33,-0.755,3.091,3.497,0,6.649,        .   ,0.515,0.265,0.136,0.07,0,0,11,0.036,0.019,0.01,1,0,0,0,1.282,0.855,0.427,0.5,25.102,9.625,0.686,0,0,0,1,1.123,1.282,0.855,0.15,0,,0,866.77632,0,115.776,,0,0,0,0,,0,0,0,0,,0,866.77632,0,115.776
15621600,0.16,2,56,1,17,1061.76,22,1061.76,0,33,-1.833,3.091,3.497,0,6.968,        .   ,0.708,0.501,0.355,0.251,0,0,11,0.178,0.126,0.089,1,0,0,0,0.436,0.291,0.145,0.5,22.832,0.692,0.4,0,0,0,1,0.42,0.436,0.291,0.08,0,,0,445.93919999999997,0,84.9408,,0,0,0,0,,0,0,0,0,,0,445.93919999999997,0,84.9408
15622500,1.26,2,56,1,17,269.76,41,269.76,0,46,0.231,3.714,3.829,0,5.598,        .   ,0.18,0.032,0.006,0.001,0,0,5,0,0,0,1,0,0,0,1.844,1.643,0.2,0.122,36.4,21.163,1.122,0,0,0,1,2.077,1.844,1.643,0.074,0,,0,560.29152,0,19.962239999999998,,0,0,0,0,,0,0,0,0,,0,560.29152,0,19.962239999999998
15631600,0.61,2,56,1,17,369.66,41,369.66,0,46,-0.494,3.714,3.829,0,5.913,        .   ,0.246,0.061,0.015,0.004,0,0,5,0.001,0,0,1,0,0,0,0.893,0.796,0.097,0.122,34.179,46.526,0.781,0,0,0,1,1.071,0.893,0.796,0.055,0,,0,395.90586,0,20.331300000000002,,0,0,0,0,,0,0,0,0,,0,395.90586,0,20.331300000000002
15631800,0.11,2,61,1,17,627.21,21,627.21,0,35,-2.207,3.045,3.555,0,6.441,        .   ,0.418,0.175,0.073,0.031,0,0,14,0.013,0.005,0.002,1,0,0,0,0.314,0.189,0.126,0.667,25.902,24.032,0.332,0,0,0,1,0.255,0.314,0.189,0.028,0,,0,159.93855000000002,0,17.561880000000002,,0,0,0,0,,0,0,0,0,,0,159.93855000000002,0,17.561880000000002
15672400,0.35,2,60,1,8,1681.02,47,1681.02,0,47,-1.05,3.85,3.761,0,7.427,        .   ,1.121,1.256,1.407,1.577,0,0,-4,1.768,1.981,2.22,1,0,0,0,0.447,0.447,0,0,27.449,382.253,0.592,0,0,0,1,0.765,0.447,0.447,0.18,0,,0,1285.9803,0,302.5836,,0,0,0,0,,0,0,0,0,,0,1285.9803,0,302.5836
15673500,0.59,2,60,1,8,450.46,22,450.46,1.35,32,-0.528,3.091,3.466,0,6.11,0.3,0.3,0.09,0.027,0.008,0,0,10,0.002,0.001,0,1,0,0,0,1.609,1.106,0.503,0.455,20.529,2.164,0.768,2.288,0,0,1,1.724,1.609,1.106,0.171,0.383,,608.121,776.59304,172.52617999999998,77.02866,,0,0,0,0,,0,0,0,0,,608.121,776.59304,172.52617999999998,77.02866
15762400,0.56,2,26,1,19,672,24,672,0.93,33,-0.58,3.178,3.497,0,6.51,-0.073,0.448,0.201,0.09,0.04,0,0,9,0.018,0.008,0.004,1,0,0,0,1.4,1.018,0.382,0.375,21.718,5.207,0.748,1.661,0,0,1,1.547,1.4,1.018,0.208,0.242,,624.96,1039.584,162.624,139.77599999999998,,0,0,0,0,,0,0,0,0,,624.96,1039.584,162.624,139.77599999999998
15792400,0.4,2,26,1,17,985.05,15,985.05,0.48,20,-0.916,2.708,2.996,0,6.893,-0.734,0.657,0.431,0.283,0.186,0,0,5,0.122,0.08,0.053,1,0,0,0,1.6,1.2,0.4,0.333,15.029,0.001,0.632,1.2,0,0,1,1.597,1.6,1.2,0.395,0.194,,472.82399999999996,1573.12485,191.09969999999998,389.09475,,0,0,0,0,,0,0,0,0,,472.82399999999996,1573.12485,191.09969999999998,389.09475
15792400,0.97,2,26,1,19,1070.19,23,1070.19,0.26,23,-0.03,3.135,3.135,0,6.976,-1.347,0.713,0.509,0.363,0.259,0,0,0,0.185,0.132,0.094,1,0,0,0,2.53,2.53,0,0,18.632,19.077,0.985,0.268,0,0,1,3.124,2.53,2.53,0.699,0.178,,278.24940000000004,3343.27356,190.49382,748.06281,,0,0,0,0,,0,0,0,0,,278.24940000000004,3343.27356,190.49382,748.06281
15822300,0.32,2,26,1,19,743.4,23,743.4,0.95,23,-1.139,3.135,3.135,0,6.611,-0.051,0.496,0.246,0.122,0.06,0,0,0,0.03,0.015,0.007,1,0,0,0,0.835,0.835,0,0,15.487,56.446,0.566,2.969,0,0,1,1.24,0.835,0.835,0.241,0.261,,706.2299999999999,921.8159999999999,194.0274,179.15939999999998,,0,0,0,0,,0,0,0,0,,706.2299999999999,921.8159999999999,194.0274,179.15939999999998
15822400,0.34,2,26,1,17,978.12,15,978.12,0.48,20,-1.079,2.708,2.996,0,6.886,-0.734,0.652,0.425,0.277,0.181,0,0,5,0.118,0.077,0.05,1,0,0,0,1.36,1.02,0.34,0.333,14.904,0.009,0.583,1.412,0,0,1,1.369,1.36,1.02,0.339,0.168,,469.4976,1339.04628,164.32416,331.58268000000004,,0,0,0,0,,0,0,0,0,,469.4976,1339.04628,164.32416,331.58268000000004
16151600,0.43,2,21,1,19,426.3,27,426.3,0.16,33,-0.844,3.296,3.497,0,6.055,-1.833,0.284,0.081,0.023,0.007,0,0,6,0.002,0.001,0,1,0,0,0,0.956,0.782,0.174,0.222,26.015,0.97,0.656,0.372,0,0,1,0.992,0.956,0.782,0.075,0.026,,68.208,422.88960000000003,11.0838,31.9725,,0,0,0,0,,0,0,0,0,,68.208,422.88960000000003,11.0838,31.9725
16152200,0.35,2,21,1,19,749.18,21,749.18,0.12,31,-1.05,3.045,3.434,0,6.619,-2.12,0.499,0.249,0.125,0.062,0,0,10,0.031,0.016,0.008,1,0,0,0,1,0.677,0.323,0.476,23.336,5.457,0.592,0.343,0,0,1,0.9,1,0.677,0.125,0.02,,89.90159999999999,674.262,14.9836,93.6475,,0,0,0,0,,0,0,0,0,,89.90159999999999,674.262,14.9836,93.6475
16162200,0.5,2,21,1,19,1285.78,19,1285.78,1.53,37,-0.693,2.944,3.611,0,7.159,0.425,0.857,0.735,0.63,0.54,0,0,18,0.463,0.397,0.34,1,0,0,0,1.579,0.811,0.768,0.947,17.891,1.23,0.707,3.06,0,0,1,1.677,1.579,0.811,0.445,0.454,,1967.2434,2156.25306,583.74412,572.1721,,0,0,0,0,,0,0,0,0,,1967.2434,2156.25306,583.74412,572.1721
16163100,0.33,2,21,1,19,146.47,39,146.47,0,48,-1.109,3.664,3.871,0,4.987,        .   ,0.098,0.01,0.001,0,0,0,9,0,0,0,1,0,0,0,0.508,0.413,0.095,0.231,35.583,11.673,0.574,0,0,0,1,0.556,0.508,0.413,0.011,0,,0,81.43732,0,1.61117,,0,0,0,0,,0,0,0,0,,0,81.43732,0,1.61117
16172300,0.45,2,21,1,19,341.44,39,341.44,0,48,-0.799,3.664,3.871,0,5.833,        .   ,0.228,0.052,0.012,0.003,0,0,9,0.001,0,0,1,0,0,0,0.692,0.563,0.13,0.231,34.926,16.594,0.671,0,0,0,1,0.773,0.692,0.563,0.036,0,,0,263.93312000000003,0,12.291839999999999,,0,0,0,0,,0,0,0,0,,0,263.93312000000003,0,12.291839999999999
16183100,0.28,2,21,1,17,1143.63,19,1143.63,0,37,-1.273,2.944,3.611,0,7.042,        .   ,0.762,0.581,0.443,0.338,0,0,18,0.258,0.196,0.15,1,0,0,0,0.884,0.454,0.43,0.947,24.8,33.643,0.529,0,0,0,1,0.677,0.884,0.454,0.127,0,,0,774.2375100000002,0,145.24101000000002,,0,0,0,0,,0,0,0,0,,0,774.2375100000002,0,145.24101000000002
16201600,0.43,2,21,1,19,724.22,21,724.22,0.12,31,-0.844,3.045,3.434,0,6.585,-2.12,0.483,0.233,0.113,0.054,0,0,10,0.026,0.013,0.006,1,0,0,0,1.229,0.832,0.396,0.476,23.673,7.143,0.656,0.279,0,0,1,1.09,1.229,0.832,0.145,0.023,,86.9064,789.3998000000001,16.65706,105.0119,,0,0,0,0,,0,0,0,0,,86.9064,789.3998000000001,16.65706,105.0119
16201600,0.7,2,21,1,17,368.48,27,368.48,0.16,33,-0.357,3.296,3.497,0,5.909,-1.833,0.246,0.06,0.015,0.004,0,0,6,0.001,0,0,1,0,0,0,1.556,1.273,0.283,0.222,27.019,0,0.837,0.229,0,0,1,1.554,1.556,1.273,0.1,0.039,,58.9568,572.61792,14.37072,36.848000000000006,,0,0,0,0,,0,0,0,0,,58.9568,572.61792,14.37072,36.848000000000006
16211600,0.7,2,21,1,17,954.52,21,954.52,0.12,31,-0.357,3.045,3.434,0,6.861,-2.12,0.636,0.405,0.258,0.164,0,0,10,0.104,0.066,0.042,1,0,0,0,2,1.355,0.645,0.476,23.236,5,0.837,0.171,0,0,1,1.808,2,1.355,0.309,0.04,,114.5424,1725.77216,38.1808,294.94668,,0,0,0,0,,0,0,0,0,,114.5424,1725.77216,38.1808,294.94668
16212300,0.36,2,21,1,17,1166.4,27,1166.4,0.32,33,-1.022,3.296,3.497,0,7.062,-1.139,0.778,0.605,0.47,0.366,0,0,6,0.284,0.221,0.172,1,0,0,0,0.8,0.655,0.145,0.222,21.42,31.136,0.6,0.889,0,0,1,1.008,0.8,0.655,0.216,0.061,,373.24800000000005,1175.7312000000002,71.1504,251.94240000000002,,0,0,0,0,,0,0,0,0,,373.24800000000005,1175.7312000000002,71.1504,251.94240000000002
16222300,0.28,2,21,1,17,745.92,34,745.92,0.1,39,-1.273,3.526,3.664,0,6.615,-2.303,0.497,0.247,0.123,0.061,0,0,5,0.03,0.015,0.008,1,0,0,0,0.494,0.431,0.063,0.147,27.376,43.882,0.529,0.357,0,0,1,0.614,0.494,0.431,0.074,0.01,,74.592,457.99487999999997,7.4592,55.19808,,0,0,0,0,,0,0,0,0,,74.592,457.99487999999997,7.4592,55.19808
16262300,0.86,2,91,1,17,1257.12,25,1257.12,1.04,60,-0.151,3.219,4.094,0,7.137,0.039,0.838,0.702,0.589,0.493,0,1,35,0.413,0.347,0.29,1,0,0,0,2.064,0.86,1.204,1.4,31.251,39.07,0.927,1.209,0,0,1,1.651,2.064,0.86,0.052,0.499,,1307.4048,2075.50512,627.30288,65.37024,,0,0,0,0,,1307.4048,2075.50512,627.30288,65.37024,,0,0,0,0
16402300,0.53,2,26,1,19,1072.02,11,1072.02,0.23,23,-0.635,2.398,3.135,0,6.977,-1.47,0.715,0.511,0.365,0.261,0,0,12,0.186,0.133,0.095,1,0,0,0,2.891,1.383,1.508,1.091,17.591,43.441,0.728,0.434,0,0,1,1.808,2.891,1.383,0.423,0.097,,246.5646,1938.21216,103.98594,453.46446,,0,0,0,0,,0,0,0,0,,246.5646,1938.21216,103.98594,453.46446
