source,modernized_xlsx,status
data/link_observations/original_legacy/montgomery_county_1987_links87_raw_data_excel.xls,data/modernized_xlsx/links87_raw_data.xlsx,libreoffice_returncode_0
data/publication_tables/original_legacy/speed_delay_publication_tables_regression_figures.xls,data/modernized_xlsx/publication_tables_regression_figures.xlsx,libreoffice_returncode_0
